column_name,data_type,total_rows,non_null_count,null_count,null_percentage,unique_values,duplicate_values
index,int64,337553,337553,0,0.0,337553,0
stream,object,337553,337553,0,0.0,8,337545
Zscore,object,337553,337553,0,0.0,33891,303662
district_rank,object,337553,337553,0,0.0,8060,329493
island_rank,object,337553,337553,0,0.0,47616,289937
al_year,int64,337553,337553,0,0.0,1,337552
sub1,object,337553,337553,0,0.0,51,337502
sub1_r,object,337553,337553,0,0.0,7,337546
sub2,object,337553,337553,0,0.0,60,337493
sub2_r,object,337553,337553,0,0.0,7,337546
sub3,object,337553,337553,0,0.0,60,337493
sub3_r,object,337553,337553,0,0.0,8,337545
cgt_r,object,337553,337553,0,0.0,73,337480
ge_r,object,337553,337553,0,0.0,7,337546
syllabus,object,337553,337553,0,0.0,2,337551
birth_day,object,337553,337553,0,0.0,34,337519
birth_month,object,337553,337553,0,0.0,15,337538
birth_year,object,337553,337553,0,0.0,76,337477
gender,object,337553,336069,1484,0.44,3,337550
